subjID,wave,date,ph1,sm1_1,sm1_5,sm1_9,ax1_1,ax1_2,ax1_3,ax1_4,ax1_5,ax1_6,ax1_7,ax1_8,ax1_9,ax1_10,bf1,bf2,bf3_1,bf3_3,bf3_4,bf3_5,bf3_6,bf4,bf5,pm2,pm3,pm3a,pm4,pm5,pm7,pm7b,pm10_1,pm10_2,pm10_3,pm10_5,pm10_6,sex,age_gp,edu,wtageSG1
1,1,20090429,1,2,2,2,4,4,4,4,3,1,1,1,1,1,3,2,1,2,1,1,1,5,3,1,1,NA,1,4,4,NA,NA,NA,NA,NA,NA,2,3,6,1.021277087
2,1,20090429,2,2,2,2,3,2,2,4,2,1,1,1,1,1,NA,2,2,1,1,1,1,4,1,3,2,NA,4,4,4,NA,NA,NA,NA,NA,NA,2,3,3,1.021277087
3,1,20090429,1,2,2,2,4,3,4,4,3,1,1,1,1,1,4,2,1,1,1,1,2,5,3,1,1,NA,1,2,2,NA,NA,NA,NA,NA,NA,2,6,4,1.313043773
4,1,20090429,3,1,1,1,2,2,3,3,2,2,3,2,2,2,3,3,1,1,1,1,1,5,3,1,3,NA,3,4,4,NA,NA,NA,NA,NA,NA,1,1,6,0.91593989
5,1,20090429,1,2,2,2,4,2,4,4,4,1,1,1,1,1,4,1,1,1,1,1,1,1,2,1,1,NA,1,4,4,NA,NA,NA,NA,NA,NA,2,5,3,0.511206068
6,1,20090429,3,2,2,1,3,4,4,4,4,1,2,1,2,1,4,2,1,1,1,1,1,5,4,1,1,NA,2,4,4,NA,NA,NA,NA,NA,NA,2,3,5,1.021277087
7,1,20090429,1,2,2,2,2,2,2,2,2,2,2,1,1,2,4,3,1,1,1,NA,1,5,2,1,2,NA,1,4,2,NA,NA,NA,NA,NA,NA,2,5,5,0.511206068
8,1,20090429,3,2,1,1,4,4,4,4,4,1,1,1,1,1,3,4,1,2,2,2,1,6,2,2,2,NA,2,4,4,NA,NA,NA,NA,NA,NA,1,1,7,0.91593989
9,1,20090429,1,2,2,2,3,1,4,4,4,1,1,1,1,1,3,4,2,2,2,2,1,6,3,4,4,NA,1,4,4,NA,NA,NA,NA,NA,NA,1,2,7,1.481328174
10,1,20090429,1,2,2,2,3,4,4,4,4,1,1,1,1,1,4,2,1,2,2,1,2,5,5,1,1,NA,1,4,4,NA,NA,NA,NA,NA,NA,2,6,4,1.313043773
11,1,20090429,2,2,2,2,3,3,3,3,3,2,2,1,1,1,2,2,1,1,1,2,2,5,3,1,2,NA,2,4,4,NA,NA,NA,NA,NA,NA,2,4,5,0.607403236
12,1,20090429,2,2,2,2,4,4,3,2,4,1,1,1,1,1,2,4,1,1,1,1,1,5,3,4,1,NA,2,4,4,NA,NA,NA,NA,NA,NA,2,4,5,0.607403236
13,1,20090429,1,2,2,2,3,3,3,4,4,1,1,1,1,1,2,3,1,2,1,1,2,4,2,2,1,NA,1,4,4,NA,NA,NA,NA,NA,NA,2,2,5,1.439584917
14,1,20090429,2,2,2,2,3,3,4,2,3,2,1,1,1,2,3,4,1,2,1,1,1,5,3,4,4,NA,3,4,4,NA,NA,NA,NA,NA,NA,2,1,6,0.897544476
15,1,20090429,2,2,2,2,3,2,3,3,3,1,1,1,1,1,2,4,1,1,1,1,2,5,3,1,2,NA,4,4,4,NA,NA,NA,NA,NA,NA,2,4,5,0.607403236
16,1,20090429,1,2,2,2,3,4,3,3,3,1,3,1,2,1,3,3,1,1,2,1,1,4,2,4,4,NA,1,4,4,NA,NA,NA,NA,NA,NA,1,5,4,0.925080444
17,1,20090429,1,2,2,1,3,3,3,3,3,1,1,1,1,2,4,1,1,2,NA,2,2,5,3,1,2,NA,3,4,2,NA,NA,NA,NA,NA,NA,2,4,4,0.607403236
18,1,20090429,3,2,2,2,3,3,3,3,3,1,1,1,1,1,3,1,1,1,1,2,NA,5,3,1,1,NA,1,2,1,NA,NA,NA,NA,NA,NA,2,6,4,1.313043773
19,1,20090429,2,2,2,2,3,3,2,2,2,1,1,1,1,1,2,NA,1,1,1,1,1,4,3,1,2,NA,2,4,4,NA,NA,NA,NA,NA,NA,1,6,2,1.174388183
20,1,20090429,1,2,2,2,4,4,3,3,3,1,1,1,1,1,4,1,1,2,1,1,1,5,2,3,3,NA,2,4,4,NA,NA,NA,NA,NA,NA,2,NA,2,0.767019689
21,1,20090429,2,2,2,2,4,2,2,2,2,1,1,1,2,1,NA,5,1,1,1,1,1,5,1,1,1,NA,1,4,4,NA,NA,NA,NA,NA,NA,2,3,7,1.021277087
22,1,20090429,2,2,2,2,3,2,2,2,2,1,1,1,1,1,4,1,1,1,1,1,2,4,4,2,4,NA,2,2,4,NA,NA,NA,NA,NA,NA,2,1,7,0.897544476
23,1,20090429,2,2,1,2,4,2,4,2,4,2,2,1,1,1,3,6,1,1,1,2,1,5,2,2,2,NA,3,4,4,NA,NA,NA,NA,NA,NA,1,1,6,0.91593989
24,1,20090429,1,2,2,2,3,2,2,2,2,2,2,1,2,1,2,7,1,1,1,1,2,6,5,4,4,NA,4,4,1,NA,NA,NA,NA,NA,NA,2,4,2,0.607403236
