Date,day,Total
1-May-09,1,1
12-May-09,12,1
17-May-09,17,1
22-May-09,22,3
23-May-09,23,2
25-May-09,25,7
26-May-09,26,1
27-May-09,27,3
28-May-09,28,4
29-May-09,29,4
30-May-09,30,3
1-Jun-09,32,3
2-Jun-09,33,1
3-Jun-09,34,3
4-Jun-09,35,1
5-Jun-09,36,2
6-Jun-09,37,5
7-Jun-09,38,4
8-Jun-09,39,4
9-Jun-09,40,4
10-Jun-09,41,10
11-Jun-09,42,12
12-Jun-09,43,15
13-Jun-09,44,17
14-Jun-09,45,15
15-Jun-09,46,27
16-Jun-09,47,25
17-Jun-09,48,85
18-Jun-09,49,54
19-Jun-09,50,74
20-Jun-09,51,52
21-Jun-09,52,56
22-Jun-09,53,71
23-Jun-09,54,83
24-Jun-09,55,86
25-Jun-09,56,80
26-Jun-09,57,78
27-Jun-09,58,55
28-Jun-09,59,29
29-Jun-09,60,55
30-Jun-09,61,36
1-Jul-09,62,32
2-Jul-09,63,38
3-Jul-09,64,29
4-Jul-09,65,32
5-Jul-09,66,22
6-Jul-09,67,39
7-Jul-09,68,40
8-Jul-09,69,60
9-Jul-09,70,65
10-Jul-09,71,52
11-Jul-09,72,39
12-Jul-09,73,61
13-Jul-09,74,68
14-Jul-09,75,72
15-Jul-09,76,94
16-Jul-09,77,84
17-Jul-09,78,101
18-Jul-09,79,89
19-Jul-09,80,79
20-Jul-09,81,100
21-Jul-09,82,122
22-Jul-09,83,137
23-Jul-09,84,176
24-Jul-09,85,196
25-Jul-09,86,155
26-Jul-09,87,151
27-Jul-09,88,196
28-Jul-09,89,185
29-Jul-09,90,162
30-Jul-09,91,209
31-Jul-09,92,211
1-Aug-09,93,176
2-Aug-09,94,199
3-Aug-09,95,236
4-Aug-09,96,197
5-Aug-09,97,229
6-Aug-09,98,197
7-Aug-09,99,199
8-Aug-09,100,199
9-Aug-09,101,163
10-Aug-09,102,204
11-Aug-09,103,203
12-Aug-09,104,200
13-Aug-09,105,174
14-Aug-09,106,176
15-Aug-09,107,223
16-Aug-09,108,247
17-Aug-09,109,311
18-Aug-09,110,279
19-Aug-09,111,308
20-Aug-09,112,269
21-Aug-09,113,281
22-Aug-09,114,284
23-Aug-09,115,286
24-Aug-09,116,312
25-Aug-09,117,315
26-Aug-09,118,341
27-Aug-09,119,345
28-Aug-09,120,286
29-Aug-09,121,265
30-Aug-09,122,229
31-Aug-09,123,317
1-Sep-09,124,316
2-Sep-09,125,315
3-Sep-09,126,304
4-Sep-09,127,334
5-Sep-09,128,306
6-Sep-09,129,331
7-Sep-09,130,414
8-Sep-09,131,451
9-Sep-09,132,419
10-Sep-09,133,495
11-Sep-09,134,524
12-Sep-09,135,567
13-Sep-09,136,529
14-Sep-09,137,655
15-Sep-09,138,503
16-Sep-09,139,557
17-Sep-09,140,535
18-Sep-09,141,473
19-Sep-09,142,420
20-Sep-09,143,432
21-Sep-09,144,580
22-Sep-09,145,520
23-Sep-09,146,529
24-Sep-09,147,478
25-Sep-09,148,416
26-Sep-09,149,302
27-Sep-09,150,330
28-Sep-09,151,264
29-Sep-09,152,232
30-Sep-09,153,233
1-Oct-09,154,165
2-Oct-09,155,217
3-Oct-09,156,151
4-Oct-09,157,172
5-Oct-09,158,173
6-Oct-09,159,192
7-Oct-09,160,183
8-Oct-09,161,121
9-Oct-09,162,140
10-Oct-09,163,87
11-Oct-09,164,105
12-Oct-09,165,118
13-Oct-09,166,78
14-Oct-09,167,63
15-Oct-09,168,63
16-Oct-09,169,58
17-Oct-09,170,47
18-Oct-09,171,41
19-Oct-09,172,40
20-Oct-09,173,40
21-Oct-09,174,44
22-Oct-09,175,42
23-Oct-09,176,42
24-Oct-09,177,36
25-Oct-09,178,33
26-Oct-09,179,33
27-Oct-09,180,45
28-Oct-09,181,34
29-Oct-09,182,34
30-Oct-09,183,26
31-Oct-09,184,28
1-Nov-09,185,22
2-Nov-09,186,19
3-Nov-09,187,15
4-Nov-09,188,16
5-Nov-09,189,19
6-Nov-09,190,7
7-Nov-09,191,13
8-Nov-09,192,20
9-Nov-09,193,19
10-Nov-09,194,26
11-Nov-09,195,27
12-Nov-09,196,8
13-Nov-09,197,19
14-Nov-09,198,16
15-Nov-09,199,19
16-Nov-09,200,
17-Nov-09,201,
18-Nov-09,202,
19-Nov-09,203,
20-Nov-09,204,
21-Nov-09,205,
22-Nov-09,206,
23-Nov-09,207,
24-Nov-09,208,
25-Nov-09,209,
26-Nov-09,210,
27-Nov-09,211,
28-Nov-09,212
29-Nov-09,213
30-Nov-09,214
1-Dec-09,215
